"","SRR11647685","SRR11647686","SRR11647687","SRR11647695","SRR11647696","SRR11647697"
"ENSG00000049246.16",9.78883318809324,9.54265203981896,8.19510404345882,8.92365319405507,8.64709414807357,7.13252802524644
"ENSG00000236266.2",5.7244801507661,5.09680611488882,4.25494920623463,5.18030366918138,4.84822150024967,3.91622432200816
"ENSG00000049247.14",4.51462482048822,3.89449094203214,4.81707819383886,4.08084467490131,4.68912687484386,5.74088215150686
"ENSG00000049249.11",5.05864561588622,4.54854812403889,4.60303945256248,7.14433406317243,8.02020891870205,5.89140252823635
"ENSG00000116288.14",10.1074547635421,9.93042336154026,9.1370593531585,9.59319808626507,10.8896073564725,11.2611274678485
"ENSG00000284747.1",5.00290196029797,5.93316994472077,5.11744723314561,4.78854633554978,5.07339945090518,4.80697630767269
"ENSG00000284716.1",4.67687988267849,4.82435752259957,3.95529216624375,3.20448759227673,4.27639885326691,3.71028626417903
"ENSG00000116285.14",9.39430035238586,9.67372405673246,9.52493038658297,9.10463901846577,9.55573270512853,9.38479887758998
"ENSG00000238290.2",4.81837282675263,4.94080826796829,4.71514315162187,4.35127424538768,4.35811755799397,6.00096588775873
"ENSG00000162426.17",4.59880564646377,4.99504587743246,3.95529216624375,4.35127424538768,4.79759675044398,5.7086764939242
"ENSG00000142599.21",10.6031665030402,10.536404344623,10.3836669532965,10.3358354178166,9.70287234254319,10.0389637239074
"ENSG00000232912.6",4.42300633790952,4.04567675336828,4.16680776179013,4.97836449140879,4.35811755799397,3.20448759227673
"ENSG00000221083.1",4.42300633790952,4.88401148977963,4.25494920623463,3.20448759227673,3.65045114690801,4.4140522738678
"ENSG00000270282.1",4.20883704298722,4.17142669389946,4.06829755909197,4.08084467490131,4.08618450602861,3.91622432200816
"ENSG00000226545.1",3.92168993085645,4.17142669389946,3.81978440788196,3.64768922233784,4.08618450602861,3.71028626417903
"ENSG00000228423.2",3.92168993085645,3.69469561858317,4.25494920623463,4.08084467490131,3.65045114690801,3.71028626417903
"ENSG00000074800.17",12.7100753798524,12.5462165215351,12.1502953866805,12.5157807422292,13.3846663978419,13.3374294242457
"ENSG00000230679.2",4.20883704298722,4.04567675336828,3.95529216624375,3.64768922233784,3.83271405382899,4.07192474765923
"ENSG00000310107.1",3.20448759227673,3.69469561858317,3.95529216624375,3.96627658271108,4.18659394623208,3.71028626417903
"ENSG00000142583.19",6.36665899533196,6.1039199838466,6.1644206077395,7.30552734776787,8.16574497486015,6.83094006215864
"ENSG00000180758.13",9.56127179448373,8.95549623038398,10.083291947998,8.69236956824231,8.56148287071313,7.83726386444953
"ENSG00000228526.9",6.42709799944066,7.04105873046674,8.06802712591177,7.34509525253114,6.46770917275497,5.41881232542177
"ENSG00000234546.6",5.78839496512584,5.98414158697502,5.76349455009046,6.73058105113249,6.21167231802647,4.87134223009766
"ENSG00000049239.14",9.65996793916906,9.57146791078008,9.59964795471188,9.71410996493714,9.31549424647262,9.80420812741893
"ENSG00000302217.1",3.20448759227673,4.17142669389946,3.20448759227673,4.08084467490131,3.20448759227673,4.20132552544726
"ENSG00000171621.15",8.61269915543913,8.7035457027198,8.25265630789702,9.36279912633236,8.64389375258063,10.4850684709025
"ENSG00000296073.1",4.42300633790952,4.28077380410056,4.16680776179013,4.18068797538561,3.83271405382899,3.71028626417903
"ENSG00000296056.1",3.92168993085645,4.37837929546679,4.25494920623463,3.82885295922841,3.65045114690801,4.31376170434831
"ENSG00000307568.1",3.20448759227673,3.89449094203214,3.20448759227673,4.35127424538768,4.68912687484386,4.07192474765923
"ENSG00000284652.1",3.71420922273448,4.04567675336828,4.16680776179013,3.96627658271108,3.83271405382899,4.20132552544726
"ENSG00000284693.3",5.3053114910213,5.14472321282345,4.60303945256248,4.56100588431793,5.1530553037103,5.04591674572416
"ENSG00000171612.8",6.87907912059592,7.13269421855306,6.58280409038019,6.82349693381543,8.18349586464047,7.55878934634203
"ENSG00000231181.1",3.92168993085645,4.28077380410056,4.33518493609586,4.4957888115003,3.83271405382899,3.71028626417903
"ENSG00000188807.14",6.25977045472143,6.63295514554746,6.31292144535903,7.25655684705199,7.24741838699092,7.19044353036906
"ENSG00000171608.19",8.09149699626186,7.51079656584891,7.62020305622752,8.34846966901968,8.14777249293381,8.55653017746655
"ENSG00000179840.5",3.92168993085645,3.69469561858317,3.95529216624375,3.96627658271108,4.08618450602861,3.91622432200816
"ENSG00000231789.5",4.32204544747478,4.82435752259957,4.25494920623463,4.62244246527487,4.27639885326691,4.50507825207958
"ENSG00000171603.19",10.0967706087322,10.1386725751563,10.8075177853196,11.5585526482634,10.6298984271941,9.97311696422495
"ENSG00000178585.16",10.678796509515,10.4548045116367,9.95430616514792,8.93144976267829,8.790019013235,8.5164781857052
"ENSG00000285701.2",4.32204544747478,4.17142669389946,4.33518493609586,4.735854154617,3.97095235095856,3.20448759227673
"ENSG00000228150.2",3.92168993085645,3.89449094203214,3.64120379958124,4.2699972330958,3.97095235095856,3.20448759227673
"ENSG00000162441.13",9.49306355034185,9.1992105748807,9.1261099581901,8.89203830488714,9.5910446342774,9.06833141373398
"ENSG00000173614.15",7.01570875708947,6.70962685405565,6.99514194982531,6.95240605260945,6.85007619921811,6.96995316728335
"ENSG00000283611.2",3.20448759227673,4.04567675336828,3.95529216624375,3.82885295922841,3.97095235095856,3.91622432200816
"ENSG00000162444.13",8.23773483678336,7.91000275680537,6.54347280694757,5.74631599247169,5.39813607217447,6.61023703688072
"ENSG00000130939.21",9.85735231650685,9.94307872170404,10.1912188727441,10.3151318318683,9.50197257792604,9.62546456786398
"ENSG00000054523.21",10.2354255896133,10.0968125453733,11.1253893753971,10.3151318318683,9.66865166747852,9.84069050995294
"ENSG00000199562.1",4.74982229674447,5.27846648499946,4.25494920623463,4.56100588431793,4.08618450602861,5.19879354311828
"ENSG00000284735.1",4.88310934143014,5.70795129289726,5.71612939893266,4.838936277304,4.68912687484386,5.29133851255518
"ENSG00000284642.1",5.1119859035246,5.54550091467996,5.5631847177874,5.56468153396415,4.27639885326691,4.50507825207958
"ENSG00000142657.22",12.7951382916875,12.6018912852933,12.7727104473431,13.0144770528058,11.5553849783595,11.8442820883981
"ENSG00000175279.22",4.59880564646377,5.04697438487201,4.25494920623463,4.88724735456306,4.43339899728814,5.0989773581498
"ENSG00000241563.4",3.20448759227673,3.89449094203214,4.06829755909197,4.35127424538768,3.83271405382899,4.4140522738678
"ENSG00000160049.13",9.78883318809324,9.60171625310395,9.1479262288902,9.33955214345306,9.14039323238637,10.3087910993882
"ENSG00000142655.14",8.15767833985435,8.02769988670247,7.44760163534886,7.9531599578883,7.55126676570743,8.04564170604121
"ENSG00000307253.1",3.20448759227673,4.17142669389946,4.16680776179013,3.82885295922841,4.08618450602861,3.71028626417903
"ENSG00000287727.1",3.20448759227673,4.37837929546679,4.60303945256248,4.2699972330958,3.20448759227673,3.20448759227673
"ENSG00000130940.15",7.59670335879519,7.89050614667579,8.26069345752327,8.01812086293588,4.89675375874193,6.24211168152662
