"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000018625.16",300.867667722898,-2.25718434139979,0.786334519899324,0.000191517347533339,0.00554173506332236
"ENSG00000158869.12",1275.52371338122,2.54908430932049,0.764779722306851,4.29423400618961e-05,0.00165219637402182
"ENSG00000143226.17",799.042102974964,2.4831872771035,0.700882904346901,2.10870576262511e-05,0.000910401056065742
"ENSG00000173110.8",341.19142397085,4.63283898869443,1.05270750059681,4.12854516359468e-07,3.3800355495121e-05
"ENSG00000203747.14",1180.82789482758,3.3358298177652,0.884369999605933,6.93961500168007e-06,0.000357881667517932
"ENSG00000162745.11",712.287164753856,3.13460989138307,0.484264426684821,5.39680053061911e-12,1.35715624065353e-09
"ENSG00000143149.14",1306.54825721433,-1.03339768639162,0.372174811757951,0.000885536936779853,0.0177254566521106
"ENSG00000290604.2",8.25612173040079,-2.73406005976868,1.34293222903681,0.00201622939891997,0.0320403151321529
"ENSG00000228697.7",12.5545275893335,2.55096648640964,1.55701580085215,0.00323256996892026,0.0451357064979233
"ENSG00000188404.11",372.512203866101,1.64688992256212,0.551563594177355,0.000215491232009027,0.00606233584941619
"ENSG00000007908.16",448.994647407284,4.2991608022959,0.741202437769831,3.07326401740509e-10,5.51221538062958e-08
"ENSG00000203740.5",4.27851025846897,4.95077302129716,2.78689290184116,0.000706753863797052,0.0150543874979175
"ENSG00000116132.12",1319.27456458511,1.28415169837518,0.465456682228526,0.000640393580552026,0.0139956631228985
"ENSG00000094963.15",1423.31040464672,-2.86516493670237,0.545950870663234,8.28933692709399e-09,1.08710642829357e-06
"ENSG00000010932.17",110.910755318935,1.75290455640134,0.733987892906505,0.000987902384018407,0.0192168284317073
"ENSG00000120337.10",638.140383873697,5.82951072859954,1.37651038621357,7.16974056599589e-07,5.48249158703253e-05
"ENSG00000117586.13",60.1464703493554,1.44844764672069,0.66537693757425,0.00224413131345949,0.0341918145716536
"ENSG00000116260.17",2750.99418581167,-1.10967233383576,0.462951977100286,0.00212102027652164,0.0330653099158826
"ENSG00000143324.15",716.404166634021,1.00775707200097,0.372162594112944,0.00116267179085251,0.021586681527778
"ENSG00000143333.8",506.220069736803,2.92321356211375,0.899425290793287,4.85861580440922e-05,0.00182613582922888
"ENSG00000135838.15",847.081488771167,2.16811546933955,0.621303439470101,2.93620046252074e-05,0.0011997108522993
"ENSG00000058085.16",968.322542833377,2.34820087302964,0.469001431486055,3.73090219996757e-08,4.13672260744586e-06
"ENSG00000116701.17",721.456419299392,2.35964697005418,0.602725058631409,5.25892752342763e-06,0.000289573406498804
"ENSG00000116690.14",29.815511248503,2.40702805768683,1.39031009037153,0.00238190318837627,0.0357989922822319
"ENSG00000162702.9",370.933209207451,1.08018528747648,0.369359227096339,0.000536750261106087,0.0122135719395157
"ENSG00000077152.13",111.773280198916,1.39434166871179,0.451117194107946,0.00020271996243838,0.00581074975764913
"ENSG00000133048.14",1857.7230688973,5.06443887174704,0.602309510234753,2.19494611951539e-18,1.84625243770134e-15
"ENSG00000143850.18",426.211785128422,-2.3060298473963,0.534626494658525,9.71109257399241e-07,6.96713768109991e-05
"ENSG00000163545.11",409.817279323621,-1.53862205703665,0.647665697709102,0.00122518008596414,0.022319505479405
"ENSG00000162873.16",56.2870152867344,-2.76610610919112,0.683761543064854,2.63938439063657e-06,0.000158969144298266
"ENSG00000117280.14",403.721412645578,1.17223266491058,0.49270766958853,0.00206221358327689,0.0325378887043163
"ENSG00000162892.16",39.4636990554751,4.28515757475017,0.97453094932051,6.36518833296069e-07,4.88257984295314e-05
"ENSG00000162896.7",5832.45992194778,-4.3411615105744,1.18814952193329,7.8920814852293e-06,0.000400231899520163
"ENSG00000182795.14",2534.24098386967,-1.8963986480547,1.18256234446297,0.0034135186701669,0.0471227849017437
"ENSG00000180667.11",1486.50501379311,-2.69510932490035,0.612815430212469,5.73729636609525e-07,4.47124186128311e-05
"ENSG00000203710.13",124.324403141935,2.22135130716032,0.708440364772072,9.28864637043957e-05,0.00310806517028988
"ENSG00000203709.15",72.8613171749462,-1.32054214117745,0.501222563300032,0.000839624787466604,0.0170959661441343
"ENSG00000224260.7",45.2297550591604,-1.77700368921655,1.0087288879965,0.00335122117252295,0.0464467829894047
"ENSG00000196878.16",1071.05217461565,1.18320983599596,0.509742406103284,0.00236956672883072,0.0356754285093888
"ENSG00000123689.7",379.487161600328,4.37071941494844,0.83947326155814,8.49333553256205e-09,1.10201028534993e-06
"ENSG00000117594.11",106.67379162327,2.71658881412415,0.822000922281995,4.38085931528036e-05,0.00168287088626195
"ENSG00000143469.21",7.38467873379784,5.85622498633541,3.02766551763408,0.000420811285080864,0.010123125914179
"ENSG00000117707.18",81.0291053452611,-1.34621972861641,0.449401834780354,0.000287164555453288,0.00756458423452706
"ENSG00000196482.18",32.9771617312536,-2.10366812443394,0.582006864614281,1.93033722258728e-05,0.000848024666708033
"ENSG00000136630.14",54.7636284476883,2.36106830780404,0.814238825277115,0.000179779961281579,0.00527088052348744
"ENSG00000287684.2",16.1447856408863,-1.95237428716077,0.849254951280089,0.00122441817788753,0.022319505479405
"ENSG00000197520.12",70.3491755941224,-3.6219367263419,0.508104738199951,7.47604599381272e-14,2.64294478155179e-11
"ENSG00000227496.4",14.3509780310393,1.93053742537257,0.849754687073893,0.00131879217244722,0.0234470098123215
"ENSG00000244137.1",6.82520180601906,-3.19408558618982,1.6914588056354,0.00310703527916097,0.0441459719652919
"ENSG00000135773.14",52.0747963167561,-3.30110338084773,0.729719378296198,3.10869242255351e-07,2.68901894550879e-05
"ENSG00000182118.9",95.1211735121686,1.83249768434215,0.518122716010112,2.91517297063712e-05,0.00119311768914012
